Model,Condition,AUPRC,MCC,F1,Brier score,ECE
Logistic baseline,In-distribution,0.9333015621991981,0.7952252179637609,0.8163265306122449,0.05908133272715645,0.08703076158537969
Logistic baseline,Concept drift,0.6310321038309408,0.4281308711132322,0.5373134328358209,0.3025755218024282,0.37124431796452123
Logistic baseline,20% telemetry loss,0.7843419352159676,0.5930743210863189,0.6666666666666666,0.18131357725428704,0.204833246153437
Logistic baseline,Timestamp perturbation,0.9333015621991981,0.7952252179637609,0.8163265306122449,0.059081341277447554,0.08703076850278554
Logistic baseline,Attribute perturbation,0.5426172607167147,0.36347837109425657,0.3188405797101449,0.13174370474100092,0.09362329559856858
Temporal Transformer,In-distribution,0.8748581920777089,0.6866629608138858,0.7272727272727273,0.059612762182950974,0.0625426865008194
Temporal Transformer,Concept drift,0.7068088893940164,0.5335952846854662,0.6201550387596899,0.19101689755916595,0.27144380029058085
Temporal Transformer,20% telemetry loss,0.7215747113645635,0.5553797398046051,0.5609756097560976,0.09114884585142136,0.05714108588872479
Temporal Transformer,Timestamp perturbation,0.8756047184869854,0.6866629608138858,0.7272727272727273,0.059514738619327545,0.06060278100485448
Temporal Transformer,Attribute perturbation,0.6687426003758401,0.4608692902798834,0.5057471264367817,0.09465184062719345,0.07326697410317139
Graph neural network,In-distribution,0.44709786949342334,0.3927553071172754,0.4972972972972973,0.15828628838062286,0.20364488079212606
Graph neural network,Concept drift,0.3800879527902291,0.16413036132965797,0.33986928104575165,0.2811039388179779,0.3781795440241695
Graph neural network,20% telemetry loss,0.4704603000100319,0.3223911660329171,0.4530386740331492,0.1579609215259552,0.19012430454604326
Graph neural network,Timestamp perturbation,0.44709786949342334,0.3927553071172754,0.4972972972972973,0.15828628838062286,0.20364488079212606
Graph neural network,Attribute perturbation,0.3335681435258995,0.31622255138903804,0.44559585492227977,0.1840561330318451,0.22211586325429378
Temporal-graph fusion,In-distribution,0.8173066634865284,0.6690048726171761,0.7288135593220338,0.07813619822263718,0.09293069507693871
Temporal-graph fusion,Concept drift,0.6956989131726163,0.39477101697586137,0.48148148148148145,0.2687968611717224,0.36389687607297677
Temporal-graph fusion,20% telemetry loss,0.6522819892034625,0.4805194805194805,0.5714285714285714,0.11756575107574463,0.10014514059294016
Temporal-graph fusion,Timestamp perturbation,0.8187326963603604,0.6637465183030646,0.7241379310344828,0.0779915302991867,0.09292199059855193
Temporal-graph fusion,Attribute perturbation,0.6705134433510453,0.5782923484018954,0.6557377049180327,0.09604237228631973,0.11099442074773834
Topology fusion without consistency,In-distribution,0.9094853269325486,0.8073355148937865,0.8316831683168316,0.04976052790880203,0.06035866684978827
Topology fusion without consistency,Concept drift,0.8365004988704164,0.576804041198266,0.6482758620689655,0.18407757580280304,0.2736338023270946
Topology fusion without consistency,20% telemetry loss,0.8038425808887426,0.630766961487692,0.6666666666666666,0.07174891233444214,0.03631519513146487
Topology fusion without consistency,Timestamp perturbation,0.9090388492479706,0.8073355148937865,0.8316831683168316,0.049809038639068604,0.06032746793644037
Topology fusion without consistency,Attribute perturbation,0.9254772827280104,0.8003489529752605,0.8333333333333334,0.04847317561507225,0.07763043101585936
Topology-guided fusion,In-distribution,0.908733012867189,0.7862221318155364,0.819047619047619,0.05092943459749222,0.053911725094076254
Topology-guided fusion,Concept drift,0.8341617926067967,0.5628803337124241,0.6289308176100629,0.19109585881233215,0.2783280629315414
Topology-guided fusion,20% telemetry loss,0.8052943602403185,0.6354776803282516,0.6804123711340206,0.07240330427885056,0.028297894785646344
Topology-guided fusion,Timestamp perturbation,0.908003703202616,0.7862221318155364,0.819047619047619,0.05100760608911514,0.05371404639445246
Topology-guided fusion,Attribute perturbation,0.9274974639486787,0.8026083699779374,0.8363636363636363,0.048128001391887665,0.07284660841687582
